Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
4,55,30,A.E.K. F.C.,40,408,1/10.2,25,1307,1138,576,618,82,0,1,2008-2009
6,47,30,ARIS F.C.,30,382,1/12.7,14,1562,1200,582,591,91,2,7,2008-2009
12,33,30,ASTERAS TRIPOLIS F.C.,33,315,1/9.5,21,1378,1171,602,645,83,2,5,2008-2009
9,36,30,ERGOTELIS F.C.,31,329,1/10.6,17,1521,1382,595,596,77,3,3,2008-2009
10,33,30,IRAKLIS F.C.,22,287,1/13.0,14,1071,1067,588,582,90,1,4,2008-2009
16,14,30,THRASIVOULOS FYLI,22,279,1/12.7,12,1034,1117,557,591,106,2,4,2008-2009
5,49,30,A.E.L. F.C.,36,325,1/9.0,18,1592,1142,444,534,82,0,3,2008-2009
13,32,30,LEVADIAKOS F.C.,28,294,1/10.5,13,1119,1175,532,534,82,3,7,2008-2009
14,24,30,O.F.I. F.C.,30,294,1/9.8,20,1545,1404,588,640,108,1,2,2008-2009
1,71,30,OLYMPIACOS F.C.,50,432,1/8.6,29,2099,1380,622,548,72,0,2,2008-2009
2,63,30,P.A.O.K. F.C.,39,302,1/7.7,23,1638,1119,606,577,82,3,5,2008-2009
3,61,30,PANATHINAIKOS F.C.,51,397,1/7.8,35,1771,1244,568,609,74,1,4,2008-2009
11,33,30,PANTHRAKIKOS F.C.,23,233,1/10.1,9,1086,1085,552,701,103,1,8,2008-2009
8,37,30,PANIONIOS F.C.,40,375,1/9.4,30,1608,1292,521,528,87,3,9,2008-2009
15,24,30,PANSERRAIKOS F.C.,19,231,1/12.2,12,1274,1150,596,593,93,0,4,2008-2009
7,38,30,SKODA XANTHI F.C.,25,321,1/12.8,17,1489,1179,559,594,102,1,2,2008-2009
